"direccion";"latitud";"longitud"
"KM 7 AUTOPISTA FLORIDABLANCA";7,08524;-73,10344
"Carrera 37 No. 7-49 ZONA INDUSTRIAL DE SAN ANDRESITO";4,61354;-74,10262
"Carrera 34N 12A-45";4,61615;-74,09625
"ANILLO VIAL VIA GIRON KM 2 - 46";7,07628;-73,17665
"KM 3 VIA LIBARE - LA FLORIDA";4,8;-75,69832
"KM 2 , VDA LA MIEL";6,1018;-75,62125
"GRANJA VILLA RUTH VDA RUITOQUE BAJO ENTRADA NUEVA BOSCONIA";7,06721;-73,10016
"Calle 19 N 63-09 BARRIO LA VENTA";4,3331;-74,36763
"AUTOPISTA SUR NO 69 - 00 INT 2";4,59847;-74,12603
"Calle 44 N° 17B-21 BARRIO VILLA SUAREZ";4,15395;-73,61628
"Carrera 143 No 0-84";3,69973;-76,31777
"Carrera 22A NO 15-61 CENTRO";1,21125;-77,27988
"KM 13 VIA A CLAI - POPAYAN";2,62195;-76,57041
"CALLEJON GUACARI VIA CANANGUA";3,76424;-76,33293
"KM 29 AUNORTE VIA A LA COSTA";6,44442;-75,36235
"Carrera 62B No 33 SUR 93 VEREDA LA VERDE SAN ANTONIO DE PRADO (MEDELLIN)";6,18524;-75,00293
"Calle 60 No. 93-80";4,6818;-74,06677
"CALLEJON BUENAVENTURA 22-57 - CORREGIMIENTO NARIÑO";4,08598;-76,19632
"KM 8 VIA CHACHAGUI";1,36103;-77,28348
"Carrera 6 No 15-114 - CORREGIMIENTO DE ANACARO";4,79626;-75,99571
"CORREGIMIENTO LA BUITRERA, VDA CHONTADURO";3,49481;-76,20873
"Carrera 28 No 69-29";3,55557;-76,29198
"Calle 30 FRENTE ENTRADA AL AEROPUERTO ERNESTO CORTISSOZ";10,8861;-74,7766
"Carrera 30 No 28A-180 BARRIO HIPODROMO";10,92738;-74,77791
"KM 5 VIA AL CORREGIMIENTO DE BONDA";11,23541;-74,12816
"KM 7 VIA A GAIRA";11,18923;-74,22097
"Avenida LOS ALAMOS Calle LAURALES VIA MAMONAL KM 1";10,36265;-75,50776
"KM5 VIA CERETE CIENAGA DE ORO";8,87167;-75,619
"VIA PUERTO SANTANDER VDA LOS PERACOS LOTE 1A";7,86756;-72,50258
"KM 2 AU FLORIDABLANCA - PIEDECUESTA";7,06719;-73,10017
"KM 10 VIA RIONEGRO PLAYON VDA FLORENCIA EL CABALLITO";7,26482;-73,1497
"PLANTA DIAMANTE - VDA GUATIGUARA";6,99696;-73,06454
"Calle 1 Carrera 1 CIUDADELA INDUSTRIAL DUITAMA";5,83759;-73,02246
"KM 63 VIA BOGOTA VILLETA VDA LA MARIA";4,87901;-74,43744
"Carrera 68D No 12-37";4,63717;-74,12327
"Carrera 33 No 10 - 79";4,61394;-74,09722
"TR 81F No 34 A -08  SUR";4,61496;-74,06941
"Carrera 32 No  10-07";4,61188;-74,09696
"Calle 17 B No  32-28";4,67719;-74,14947
"Carrera 79 C No 16 C-12";4,6574;-74,12903
"VDA SANTA TERESA";4,13199;-74,52756
"VEREDA ALTOS COMBEIMA-KM 1 VIA TOTUMO";4,3778;-75,18387
"KM 2 VIA AL CAIMO, VDA SAN PEDRO";4,53004;-75,68836
"KM 2 VIA AL AEROPUERTO EL EDEN";4,46133;-75,76652
"Calle 1 No  10 W - 151. BRR PEDREGALES";4,81859;-75,676
"VEREDA EL TAMBOR- SECTOR CEBADAL";1,09433;-77,3952
"CORREGIMIENTO GUAYAVITO-PASIZARA  DE CHACHAGUI";1,36103;-77,28348
"SINDATO";3,40739;-76,34881
"KM 3 VIA BUGA - TULUA";3,90089;-76,29783
"KM 8 VIA CALI CANDELARIA CLJON SAN JUAN";3,40977;-76,41381
"KM 2 VDA SAN MIGUEL";3,85123;-73,74032
"KM 4 VIA ACACIAS";4,0885;-73,6704
"CAPITAL DE META";4,13235;-73,62193
"Calle 12B No 44 - 39";4,62353;-74,10358
"Calle 7 No 16 - 119 CAMPOALEGRE";7,1179;-73,21451
"Carrera 21 NO 28-14";5,06993;-75,51351
"Avenida CIUDAD DE CALI No 14-06 PISO 4";4,51679;-74,12003
"KM 32 VIA CARTAGENA GAMBOTE";10,16652;-75,2993
"Carrera 9 Calle 23 ANTIGUA VIA AL GUAMO";4,14329;-74,89505
"KM 1 VIA CAUCASIA - MONTERIA";7,98821;-75,19785
"DIRECCION PLANTA: KM 7 VIA AGUACHICA - BUCARAMANGA
DIRECCION CORRESP: Carrera  37  No. 53-13 Cabecera del Llano";8,94;-73,73734
"Calle 9 No 11-49 BARRIO Kennedy";5,12701;-74,16066
"VDA CENTRO";4,88892;-73,36896
"Carrera 9 No 5A 15";-4,21867;-69,94001
"Carrera 3 Calle 2";5,87327;-73,67927
"BARRIO SAN CRLOS SALIDA A BALBOA";4,90154;-75,87958
"VEREDA CHANARRO BAJO CORREGIMIENTO DE TUTACHAG";1,08317;-77,63209
"PALACIO MUNICIPAL";5,61211;-72,97905
"Carrera 11 No 16-55";5,08685;-73,3637
"Calle 15 No. 2W - 36 BARRIO RANCHOLINDO";-0,19337;-74,78189
"VDA MONIQUIRA KM 1 VIA VILLA DE LEYVA - LA ALEJANDRIA";5,63348;-73,52395
"Calle 5 No 3 - 31 CORREGIMIENTO DE FLORENCIA";5,56889;-75,05883
"KM 2 VIA VALLEDUPAR ADENTRO MARGEN DERECHA";10,77378;-73,00111
"VDA QUERENTE";4,44031;-74,0328
"Calle 14 No 8A - 06  KM 1 VIA SALIDA A VALLEDUPAR";10,60711;-72,98131
"Carrera 7 No 1-36 O Calle CENTRAL, SALIDA AL CEMENTERIO";9,35878;-73,59982
"SALIDA A LA VDA EL PALMAR";5,54194;-74,02111
"Carrera 4 N°6,01 VDA LA PALMA";6,45998;-72,50088
"Carrera 3 No 3 . 57 BARRIO EL CENTRO";7,26825;-72,64236
"Calle 64 No 36 B - 161";7,07083;-73,84993
"Calle 5 NO 2 - 05 - RESGUARDO";4,53004;-73,92199
"Carrera 4E No 5 - 120 BR CRMENZA ROCHA";3,72365;-75,48483
"Avenida INDUSTRIAL KM 1 LA FRAGUITA  VIA ZIPAQUIRA BOGOTA";5,02576;-74,0029
"VDA EL RESGUARDO";5,55944;-73,65306
"ALCALDIA MUNICIPAL O Carrera 2 ENTRE 14 Y 15  VDA LAS LOMAS";4,37788;-74,67006
"Calle 50 No 23 - 50";6,359;-75,4924
"PALACIO MUNICIPAL";5,42103;-75,70286
"TRANSVERSAL 1 No 34 – 250 BARRIO SALINAS";6,96821;-71,86602
"VDA SAN ROQUE";5,99699;-73,56958
"CLL 3 No.10-42";4,97486;-74,28985
"Carrera 9 No 5- 36";4,58011;-74,44645
"BARRIO PABLO VI PERIMETRO URBANO";7,00111;-72,10886
"VDA CRTAGENITA KM 3 VIA BOGOTA";4,8094;-74,35443
"CAPITAL DE ARAUCA";7,08694;-70,75868
"KM 5- VIA VDA SAN MARTIN";4,99232;-73,87156
"KM 13 VIA  CORNEJO - SAN CAYETANO";7,87879;-72,62643
"KM 6  VIA A NORCASIA";5,45461;-74,66294
"CAPITAL DE META";4,13235;-73,62193
"KM 3 VIA A COROZAL- SINCELEJO";9,31945;-75,29288
"CENTRO POBLADO CUMACA";4,33812;-74,47065
"KM 2 VIA VDA EL BAURA";3,88399;-74,93212
"Avenida CIUDAD DE CALI No 15A - 91";4,65753;-74,13763
"Calle 8A No 27 -46";4,9986;-74,61474
"KM 5 VARIANTE TOCAIMA - GIRARDOT. LOTE UMATA";4,45856;-74,63631
"AUTOPISTA SUR NO 66 - 78";4,59847;-74,12603
"BARRIO SAN JOAQUIN VIA SALIDA AUTOPISTA MEDELLIN -BOGOTA";4,70087;-74,09387
"Calle 1A Carrera 6A";5,20759;-74,88895
"VDA LA CHAPA";4,23868;-75,23963
"Calle 15 Carrera 19 ESQUINA";10,90063;-74,88568
"KM 1 A LA VDA SANTAROSA";5,73014;-73,9332
"Calle 16 NORTE 1 N 21";3,50421;-76,50283
"KM 11 VIA CANDELARIA INTERIOR CAVASA";3,40739;-76,34881
"VDA PUEBLO VIEJO VIA UBATE";4,92543;-73,94437
"VDA CAJAMARQUITA  VIA CAJAMARCA - ARMENIA";4,44164;-75,4269
"Carrera 12 CON Cl 10 BR CIENAGA";7,35132;-73,89187
"BARRIO CHAPINERO PASCA";4,81132;-74,35044
"BARRIO SANTA CECLILIA “CASCO URBANo”";4,76054;-74,46317
"Carrera 6 No 1-46";5,18975;-74,48175
"Calle 11 No 14 - 28 ALCALDIA MUNICIPAL";4,5194;-74,35167
"Carrera 3  N° 21A 52";4,9946;-74,33783
"VDA RESGUARDO";5,30656;-73,71173
"Carrera 18 NO 11A - 18";5,14195;-70,85838
"Calle 12 No 20 A-250";3,86195;-75,5082
"VIA MANIZALEZ ENTRADA EL CAMPEON FRESNO";5,15421;-75,0408
"KM 1 VIA A SANTA TERESA";4,92103;-75,06534
"KM 1 VIA CALARCA SECTOR LA MARIA";4,53087;-75,66594
"VDA EL PALMAR";4,97056;-73,6
"ZONA RURAL VDA SAN MIGUEL CENTRO VIA VDA PARAISO";5,06224;-74,23613
"BARRIO PLAZA DE FERIAS";5,58371;-72,63683
"Carrera 5 No 2 - 51 USME CENTRO";4,58824;-74,07837
"Calle 6 No. 4-54";5,95612;-73,70112
"VDA JUAICA-CARRONMUNICIPIO DE TABIO";4,91769;-74,09676
"VDA CARRIZAL";5,59833;-73,60583
"VDA PUEBLO VIEJO";4,92543;-73,94437
"Calle 14 CON CIRCUNVALAR SECTOR URBANO";5,00699;-73,47311
"VDA SAN IGNACIO PARTE BAJA, SECTOR ULAGALZONA RURAL";6,31707;-72,55997
"PALACIO MUNICIPAL VDA TOIBITA BAJO";5,78091;-73,1177
"BARRIO LA PORTADA COMPLEJO GANADERO";4,72177;-73,96791
"SALIDA A CHIQUINQUIRA KM 1";5,50351;-73,85102
"Calle 3 No 6-10 CENTRO";5,36536;-73,52249
"GRANJA MUNICIAPL KM 3 VIA LA UVITA";6,3305;-72,58526
"VDA LA COSTA, SECTOR PICACHO, KM 2 VIA SOATA - LA UVITA";6,33268;-72,68281
"Carrera 4 NO 1 -58";5,98763;-72,9128
"Carrera 6 H ESTE No 113 - 20 SUR";4,61496;-74,06941
"VDA AGUA TENDIDA";5,83759;-73,02246
"VDA EL PLACER VIA PULI - GIRARDOT";4,68235;-74,71494
"Carrera 4 CON Calle 15 ESQUINA";4,5798;-74,21667
